File Name,Clip Directory,Duration TC,Frame Rate,Audio Sample Rate,Audio Channels,Resolution,Codec,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Audio Bit Depth,Data Level,Audio Channels2,Date Modified,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:10,24.000,48000,2,1920 x 1080,Cineform HD,00:05:43:14,00:05:48:00,8246,8351,106,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:08:23,24.000,48000,2,1920 x 1080,Cineform HD,00:05:48:00,00:05:56:23,8352,8566,215,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:12,24.000,48000,2,1920 x 1080,Cineform HD,00:05:56:23,00:06:00:11,8567,8650,84,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:03,24.000,48000,2,1920 x 1080,Cineform HD,00:06:00:11,00:06:03:14,8651,8725,75,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:13,24.000,48000,2,1920 x 1080,Cineform HD,00:06:03:14,00:06:07:03,8726,8810,85,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:05:15,24.000,48000,2,1920 x 1080,Cineform HD,00:06:07:03,00:06:12:18,8811,8945,135,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:06:19,24.000,48000,2,1920 x 1080,Cineform HD,00:06:12:18,00:06:19:13,8946,9108,163,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:11:12,24.000,48000,2,1920 x 1080,Cineform HD,00:06:19:13,00:06:31:01,9109,9384,276,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:05:18,24.000,48000,2,1920 x 1080,Cineform HD,00:06:31:01,00:06:36:19,9385,9522,138,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:06:03,24.000,48000,2,1920 x 1080,Cineform HD,00:06:36:19,00:06:42:22,9523,9669,147,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:05:20,24.000,48000,2,1920 x 1080,Cineform HD,00:06:42:22,00:06:48:18,9670,9809,140,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:09:18,24.000,48000,2,1920 x 1080,Cineform HD,00:06:48:18,00:06:58:12,9810,10043,234,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:23:06,24.000,48000,2,1920 x 1080,Cineform HD,00:06:58:12,00:07:21:18,10044,10601,558,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:23:05,24.000,48000,2,1920 x 1080,Cineform HD,00:07:21:18,00:07:44:23,10602,11158,557,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:04,24.000,48000,2,1920 x 1080,Cineform HD,00:07:44:23,00:07:49:03,11159,11258,100,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
